,property_id,property_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,hotel_facilities,room_facilities
1648,H000784,DejaVu,"The standard check-in time is 01:00 AM and the standard check-out time is 11:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas  New year dates, High season  long weekend dates  extra supplement will be charged over  above the paid rates as per actual  hotel discretion.","657, Tristar Enclave, Avinashi Road, Near Lakshmi  mills Signal Junction.","['Brookefields Mall', 'Avinashi Road', 'Town Bus Stand', 'Namagiri Cinema', 'Central Cinema']",Coimbatore,Tamil Nadu,India,11.0168445,76.9558321,Hotel,0,"['Swimming Pool', 'Laundry Service Available', '24 Hour Front Desk', 'Power Backup', 'Gardens', 'Computer Rental', 'Shopping Drop Facility (on fixed timings)', 'Car Rental', 'Internet Access Free', 'Newspapers In Lobby', 'Parking Facility', 'Room Service', 'Suites']","['Room Service ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Telephone']"
1649,H000785,Country Club Valley Vista,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Supplementary charges are mandatory for 24th and 31st December 2015. 1.Rs.2500  for couple,Rs.1250 for stag and Rs.700 for children for 24th Dec 2.Rs.3800  for a couple,Rs.1900 for stag and Rs.800 for childrenfor 31st Dec Arrivals prior to 09.00 am will be booked, held and charged for from the previous evening itself. 2. The above reservation has not been guaranteed and thus is liable to be released. In case you wish to guarantee the reservation, we request you to furnish us with either the credit card details or a billing letter on the companys letterhead indicating the billing instructions, should your company be on the credit list. 3. We have a cancellation policy of 48 hours. Cancellation or amendment received within 48 hours of arrival date will be subject to room charge for one night. A one nights room charge is also applicable for a no show on the arrival date. 4. The stay is guaranteed for the entire duration and any check out before the above mentioned departure date would be charged in full. 5. In the absence of arrival details/timings, all confirmed room reservations will be deeme","Prakasapuram Village, Shenbaganur, Kodaikanal","['Pillar Rocks', 'Kurinji Andavar Temple', 'Silver Cascade Falls', ""Coaker's Walk"", 'Attuvampatti', 'St Xaviers Church']",Kodaikanal,Tamil Nadu,India,10.245802889,77.5312775356,Resort,3,"['Banquet Facilities', 'Doctor on Call', 'Games Zone', 'Gift Shop ', 'Laundry Service Available', 'Multi Cuisine Restaurant ', 'Spa On Site - Chargeable', 'Local Tour / Travel Desk']","['Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ensuite / Private Bathroom', 'Tea Coffee Kettle / Maker', 'Telephone', ' Hot / Cold Running Water']"
1650,H000786,D. R. UTTHAMA,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Terms and Conditions: It is mandatory for guests to present valid photo identification at the time of check-in. local persons are not allowed. unmarried couples not allowed.  we don't allow the guest who comes without proper luggage. we don't allow Unauthorized activities like playing cards etc in our rooms if we found we will immediately checkout the guest without any refund. we will collect directly from the guest for food and other expenses at the time of service.  we allow one person for single occupancy and two persons for double occupancy no other guest is allowed into the room. If any guest came to meet the guest they can seat in lobby and talk.,"23/976, G.T.ROAD, NELLORE-524003. A.P. INDIA.","['Dargamitta', 'Penchalakona', 'Ranganatha Temple', 'Krishna Mandir', 'Pulicat Lake', 'Jonnawada']",Nellore,Andhra Pradesh,India,14.446569648,79.9805984755,Hotel,3,"['Laundry Service Available', 'Multi Cuisine Restaurant']","['Air Conditioning ', 'Basic Bathroom Amenities', ' Hot / Cold Running Water', 'TV']"
1652,H000787,Classic Hotel,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly standard check in time - 12 :00 , check out time - 11:00","K.L. ANCHALVANSI COLONY, DEDANSAR ROAD, JAISALMER(RAJ.) - 345001","['Patwon Ki Haveli', 'Hanuman Circle', 'Indira Indoor Stadium', 'Jaisalmer Fort', 'Desert Cultural Centre', 'Folklore Museum', 'Jain temple', 'Nathmalji Ki Haveli', 'Salim Singh Ki Haveli', 'Dedansar Stadium', 'Gadsisar Lake']",Jaisalmer,Rajasthan,India,26.92200029,70.91032671,Hotel,2,"['Airport Transfer Available / Surcharge', 'Concierge', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Power Backup', 'Multi Lingual Staff', 'Wake-up Call / Service', 'Suitable For Children', 'Smoking Rooms', 'Safari', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Smoking Area ', 'Camel Ride', 'Open Air Restaurant / Dining ', 'Vegetarian Food / Jain Food Available', 'Extra Person / Child - Share the same room', 'Village Visit ( Chargeable )', 'Taxi Services', 'Food Facility', 'Internet Access Free', 'Newspapers In Lobby', 'Postal / Parcel Services', 'Family Room', 'Air / Rail Booking', 'Courier Service', 'Guide / Sightseeing Service', 'RO Water Purification System', 'Outdoor Parking - Secured', 'Restaurant', 'Room Service', 'CCTV', 'First-Aid Kit at Front Desk', 'Paid Transfers']","['Room Service ', 'Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Hairdryer (on request)', 'Telephone', 'Toaster', 'Newspapers', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Toiletries', 'Window Opens', 'HD / LCD Satellite TV ', ""Split A.C's"", 'International Switch Plugs (on request)', 'TV', 'Mirror', 'Luggage Rack', 'Attached Bathroom', 'Bedside Table', 'Complete Bedding', 'Curtains/Shades', 'Daily Room Cleaning', 'Do-Not-Disturb Notice', 'Dustbins', 'Ice Bucket on Demand', 'In-room Storage Space', 'Sufficient Lighting', 'Western Toilet Seat']"
1653,H000788,Country Inn and Suites by Carlson Ajmer,The standard check-in time is 01:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly NO early check-in allowed before 10 a.m. or late check-out after 2 p.m. Early check-in and late check-out are dependent on availability and prior approval from the mgmt. Full-day charge will be levied for all early check-in and late-departure room. ONLY COUPLES/FAMILY BOOKING ALLOWED FOR 31ST DECEMBER. NO STAGS/ONLY MALES BOOKING WILL NOT BE ENTERTAINED  Mandatory Gala Dinner for 31st December 2015 is Rs. 2000/- per person.,"Sushant City by Ansal API,N.H. 8 Kishangarh Ajmer Bypass Road, Gegal, Ajmer (outskirts)","['Ajmer', 'Railway Station', 'Pushkar Lake', 'Sanganer', 'Bagru', 'Ajmer Dargah Sharif', 'Ramgarh', 'Railway Station - Kota', 'Sanganer Airport', 'Samode - havelis and forts', 'Others']",Ajmer,Rajasthan,India,26.5405485529,74.7564389023,Hotel,4,"['Swimming Pool', 'Ballroom', 'Banquet Facilities', 'Bar / Lounge ', 'Business Center ', 'Currency Exchange', 'Disabled Friendly Facilities ', 'Dry Cleaning', 'Health Club / Gym Facility Available', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Non Smoking Hotel', 'Spa On Site - Chargeable', 'Table Tennis', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Doorman', 'Power Backup', 'Gardens', 'Audio - Visual Equipment', 'Wedding Services Facility', 'Exhibit Space', 'Porter / Bellhop', 'Suitable For Children', 'Separate Sitting Area', 'Conference Facility ', 'Smoking Rooms', 'Disabled Friendly Rooms', 'Fax Machine', 'Electronic / Magnetic Keys', 'Multi - Line Phone', 'Picnic Area', 'Wheelchair Accessibility - Room', 'Pool Table', 'Massage Services ', 'Discotheque ', 'Extra Person / Child - Share the same room', 'Car Rental', 'Kids Play Zone', 'Taxi Services', 'Board Room', 'Internet Access Free', 'Family Room', 'Room Service (24 Hours)', 'Party hall', 'STD / ISD', 'Baggage Room', 'Courier Service', 'Adjoining Rooms', 'RO Water Purification System', 'Outdoor Parking - Secured', 'Outdoor Parking - Non Secured', 'Parking Facility']","['Air Conditioning ', 'Tea Coffee Kettle / Maker', 'Mini bar - On Charge ', 'Internet Connection In Room', ' Hot / Cold Running Water', 'Safe - In - Room ', 'HD / LCD Satellite TV ', 'Attached Bathroom']"
1654,H000789,Corporate Residency,The standard check-in time is 11:00 AM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,"215,2nd Floor, Dev Arc Complex, Opp. Big Bazar SG Highway,","['Sardar Vallabhbhai Patel International Airport', 'S.G. Road']",Ahmedabad,Gujarat,India,23.022505,72.5713621,Hotel,0,"['Business Center ', 'Doctor on Call', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Power Backup', 'Room Service (24 Hours)', 'Outdoor Parking - Secured', 'Parking Facility', 'Room Service', 'Porter Services Available', 'Public Restrooms']","['Room Service ', 'Housekeeping', 'Mirror', 'Daily Room Cleaning', 'Dustbins']"
1656,H000790,Colmar Beach Resort,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Colva Beach, Margoa, Goa","['South Goa', 'Colva Beach', 'Colva Area']",Goa,Goa,India,15.2778974,73.9139546,Resort,0,"['Swimming Pool', 'Bar / Lounge ', 'Doctor on Call', 'Laundry Service Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', '24 Hour Front Desk', 'Luggage Storage', 'Doorman', 'Suitable For Children', 'Smoking Rooms', 'Access Via Exterior Corridors', 'Kitchen available (home cook food on request)', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Open Air Restaurant / Dining ', 'Transfers Available', 'Veg / Non Veg Kitchens Separate ', 'Vegetarian Food / Jain Food Available', 'Extra Person / Child - Share the same room', 'Car Rental', 'Taxi Services', 'Food Facility', 'Room Service (24 Hours)', 'Guide / Sightseeing Service', 'Adjoining Rooms', 'Outdoor Parking - Secured', 'Parking Facility', 'Internet Access', 'Restaurant', 'Room Service', 'CCTV', 'Paid Transfers']","['Room Service ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Breakfast Available (surcharge)', ' Hot / Cold Running Water', 'Housekeeping', 'Window Opens', 'Makeup / Shaving Mirror', 'HD / LCD Satellite TV ', 'TV', 'Mirror', 'Attached Bathroom', 'Closet', 'Bedside Table', 'Clothes Hook in Bathroom', 'Complete Bedding', 'Curtains/Shades', 'Daily Room Cleaning', 'Dustbins', 'Sufficient Lighting', 'Western Toilet Seat', 'Breakfast chargeable']"
1658,H000791,Deccan Rendezvous (Internet Complimentary),"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly A valid government Photo Id proof with residential address on it, is mandatory upon check in. guests who would be staying.Right of admission reserved with the management. 15% promotional discount will not be application on alcoholic beverages","1202/03, Apte Road, Shivaji Nagar, Pune  Back side of Santosh Bekary","['Airport', 'Bus Stand', 'Railway Station', 'Saniwar Wada', 'Sinhagad Fort', 'Parvati', 'Pashan Lake', 'National Defence Acadamy', 'Balgandharva Rangmandir', 'Rajaram Kelkar Museum', 'Saras Baug Temple', 'Rajiv Gandhi Snake Park', 'Vishrambaugh Wada', 'Ramamani Iyengar Memorial Yoga Institute', 'Prabhat Cinema', 'Shivaji Nagar', 'Railway Station Shivaji Nagar', 'Rahul Cinema', 'Shivaji Nagar Bus Stop', 'Shaniwar Wada']",Pune,Maharashtra,India,18.5231980203,73.8436111789,Hotel,4,"['Banquet Facilities', 'Bar / Lounge ', 'Business Center ', 'Doctor on Call', 'Health Club / Gym Facility Available', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Private / Plunge Pool', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Secretarial Services', 'Solarium', 'Valet service', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Doorman', 'Medical Assistance Available', 'Power Backup', 'Audio - Visual Equipment', 'Computer Rental', 'Multi Lingual Staff', 'Wake-up Call / Service', 'Fitness Equipment', 'Porter / Bellhop', 'Suitable For Children', 'Coffee Shop / Cafe', 'Conference Facility ', 'Fax Machine', 'Massage Services ', 'Veranda', ' Bike on Rent', 'Vegetarian Food / Jain Food Available', 'Car Rental', 'Board Room', 'Food Facility', 'Newspapers In Lobby', 'Postal / Parcel Services', 'Room Service (24 Hours)', 'Air / Rail Booking', 'Courier Service', 'Guide / Sightseeing Service', 'Internet / Fax (Reception area only)', 'Outdoor Parking - Secured', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Bathrobe (on request) ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Video/ DVD/ CD Player Available', 'Hairdryer (on request)', 'Iron / Ironing board available', 'Tea Coffee Kettle / Maker', 'Mini bar - On Charge ', 'Internet Connection In Room', 'Refrigerator', 'Telephone', 'Shower Facility Available', 'Breakfast Available (surcharge)', 'Reading Lamps', 'Shower Caps Available', 'Mineral Water', 'Shoe Shine', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Toiletries', 'Window Opens', 'Climate Control', 'Sofa Cum Bed Available', 'Slippers', 'Bathtub Only', 'Premium Amenities / Toiletries', 'Shaving Kit /Dental Kit', 'Moisturiser', 'Safe - In - Room ', 'Safe (on request)', 'Coffee Table', 'Wardrobe', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', ""Split A.C's"", 'International Switch Plugs (on request)', 'TV', 'Bathrobes', 'Mirror', 'Mini Refrigerator', 'Work Station', 'Dressing Area', 'Luggage Rack', 'Attached Bathroom', 'Bathtub']"
1659,H000792,Compact Apartment 1 bhk by gagalhome,The standard check-in time is 11:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Thakur complex kandivali east,"['Others', 'Thakur college']",Mumbai,Maharashtra,India,19.2114533,72.8737217,Service Apartment,0,"['Doctor on Call', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Local Tour / Travel Desk', 'Doorman', 'Power Backup', 'Grocery', 'Internet Access Free', ' Cook Services', 'Internet Access']","['Room Service ', 'Air Conditioning ', 'Alarm Clock', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Clothes Dryer', 'Ensuite / Private Bathroom', 'Hairdryer (on request)', 'Iron / Ironing board available', 'Full Kitchen', 'Microwave Oven Available ', 'Internet Connection In Room', 'Refrigerator', 'Stove / Oven', 'Toaster', 'Washing machine', 'Shower Facility Available', 'Breakfast Available (surcharge)', 'Reading Lamps', ' Hot / Cold Running Water', 'Housekeeping', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Window Opens', 'Slippers', 'HD / LCD Satellite TV ', 'International Switch Plugs (on request)', 'Sandwich Maker', 'TV', 'Custom Duvets / Linen', 'Attached Bathroom', 'Complete Bedding', 'Curtains/Shades', 'Daily Room Cleaning', 'Western Toilet Seat', 'Breakfast chargeable']"
1661,H000793,Country Side Resort Camp,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 3 days before free cancellation after  3 day   50 % charge   1 day before 100% Charge,Sam sand dunes Jaisalmer   Pin 345001 Rajasthan,['Sam Sand Dunes'],Jaisalmer,Rajasthan,India,26.8523616619,70.5300026252,Tent,0,"['Airport Transfer Available / Surcharge', 'Babysitting/ Child Care (surcharge)', 'Bar / Lounge ', 'Beauty Salon - on charge', 'Business Center ', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Games Zone', 'Internet Access - Surcharge', 'Laundry Service Available', 'Library', 'Lobby', 'Night Club', 'Non Smoking Rooms', 'Parking Facilities Available', 'Pets Allowed', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Secretarial Services', 'Spa On Site - Chargeable', 'Local Tour / Travel Desk', '24 Hour Front Desk', 'Luggage Storage', 'Doorman', 'Medical Assistance Available', 'Welcome Drinks', 'Power Backup', 'Gardens', 'Computer Rental', 'Wedding Services Facility', 'Dance Performances (on demand)', 'Catering', 'Translation Services', 'Wake-up Call / Service', 'Suitable For Children', 'Separate Sitting Area', 'Coffee Shop / Cafe', 'Conference Facility ', 'ATM / Banking', 'Kitchen available (home cook food on request)', 'Fire Place Available ', 'Picnic Area', 'Massage Services ', 'Discotheque ', 'Safari', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Nature Walk', 'Smoking Area ', 'Camel Ride', 'Open Air Restaurant / Dining ', ' Bike on Rent', 'Veg / Non Veg Kitchens Separate ', 'Horse Ride ( Chargeable ) ', 'In House Events ', 'Vegetarian Food / Jain Food Available', 'Extra Person / Child - Share the same room', 'Village Visit ( Chargeable )', 'Car Rental', 'Express Laundry', 'Kids Play Zone', 'Meditation Room', 'Taxi Services', 'Amphitheatre', 'City Shuttle Service', 'Campfire / Bon Fire', 'Food Facility', ' Drivers Rest Room', 'Yoga Hall / Classes', 'Family Room', 'Room Service (24 Hours)', ' Cook Services', 'Party hall', 'Air / Rail Booking', 'Baggage Room', 'Courier Service', 'Guide / Sightseeing Service', 'Laptop Available on Hire', 'Internet / Fax (Reception area only)', 'Courtesy Coach', 'Airport Transfer Free', 'Outdoor Parking - Secured', 'Parking Facility', 'Restaurant', 'Room Service', 'Trekking', 'Fire Safety', 'First-Aid Kit at Front Desk', 'Hotel Trading License', 'Paid Transfers', 'Public Restrooms', 'Security at All Hotel Entrances', 'Speciality Restaurant ', 'Stamps and Mailing Facility', 'Suites']","['Room Service ', 'Balcony / Terrace', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Heating Facility (on request) ', 'Iron / Ironing board available', 'Full Kitchen', 'Toaster', 'Shower Facility Available', 'Breakfast Available (surcharge)', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Window Opens', 'Makeup / Shaving Mirror', 'Sofa Cum Bed Available', 'Slippers', 'Pinup Boards', 'Primium Bathrooms', 'Safe - In - Room ', 'Pay Movies', 'Hill View from all Rooms', 'Coffee Table', 'Sofa Table / Extra Seats ', 'Pillow menu', 'Snacks / Beverage', 'International Switch Plugs (on request)', 'Mirror', 'Gas Cylinder - Chargeable', 'Movies &amp; Games on demand', 'Dressing Area', 'Luggage Rack', 'Attached Bathroom', 'Bedside Table', 'Clothes Hook in Bathroom', 'Daily Room Cleaning', 'Dustbins', 'Extra Toilteries on Demand', 'In-Room Safe', 'Room with Window/Ventilation', 'Rooms with Attached Bathrooms', 'Western Toilet Seat']"
1665,H000794,Coronet Luxurious Appartment,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly unmarried couple are not allowed smoking is not allowed in living room  goverment id card  important big sound not accepting,"RaJ Hights Building , Opp More Shoping Market,Near Zensar, Behind Reliance Mart,Rakshak Nagar, Kharadi","['Rahul Cinema', 'Prabhat Cinema', 'Kharadi', 'Pune Airport']",Pune,Maharashtra,India,18.5508459011,73.9394595577,Service Apartment,0,"['Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', '24 Hour Front Desk', 'Power Backup', 'Taxi Services', 'Internet Access Free', 'Newspapers In Lobby', 'Room Service (24 Hours)']","['Room Service ', 'Cable / Satellite / Pay TV available', 'Internet Connection In Room', 'Housekeeping', 'Desk in Room', 'Window Opens', 'Sofa Cum Bed Available', 'Coffee Table']"
1669,H000795,Corbett Tusker Trail,The standard check-in time is 01:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Sawaldhey (West)Landmark, Opp Sawaldhey Government School","['Jhirna Gate', 'Garjia Devi Temple', 'Nainital', 'Village Semal Khalia']",Corbett,Uttarakhand,India,29.4042316,79.0434716,Resort,5,"['Swimming Pool', 'Business Center ', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Internet Access - Surcharge', 'Laundry Service Available', 'Library', 'Non Smoking Rooms', 'Parking Facilities Available', 'Multi Cuisine Restaurant ', 'Spa On Site - Chargeable', 'Local Tour / Travel Desk', 'Wheelchair Accessibility - Room', 'Board Room']","['Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Hairdryer (on request)', 'Tea Coffee Kettle / Maker', 'Refrigerator', 'Telephone', 'Soft Bar', 'TV']"
1673,H000796,Cocos Resort,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Guests are required to carry a valid photo-identity proof to present at check-in. Early morning arrivals will be allotted rooms on availability, and extra charge will be levied. Late check-outs at extra cost and will be subject to availability.","Chopora road, Near Savitri Super Market,  Vagator 403509","['North Goa', 'Anjuna Beach Bus Stop', 'Vagator Area', 'Vagator Beach', 'Anjuna Beach']",Goa,Goa,India,15.5992816,73.745992,Resort,0,"['Airport Transfer Available / Surcharge', 'Bar / Lounge ', 'Currency Exchange', 'Dry Cleaning', 'Laundry Service Available', 'Parking Facilities Available', 'Pets Allowed', 'Multi Cuisine Restaurant ', 'Gardens', 'Pool Table', ' Bike on Rent', 'Vegetarian Food / Jain Food Available', 'Car Rental', 'Karaoke']","['Room Service ', 'Air Conditioning ', 'Internet Connection In Room', 'Breakfast Available (surcharge)', ' Hot / Cold Running Water', 'Makeup / Shaving Mirror', 'HD / LCD Satellite TV ', 'TV', 'Luggage Rack', 'Attached Bathroom']"
1674,H000797,D2M Hotel and Restaurant,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly standard check in and check out time is 12 noon though early check in and check out is possible as per availability of rooms. Guests should carry a provide ID proof at the time of check in at front desk.Pets are not allowed inside the hotel.,"Sangam Complex, Near New Bus Stand Delhi Road , Rohtak Haryana",['Sangum Complex'],Rohtak,Haryana,India,28.8830612,76.6195489,Hotel,1,"['Doctor on Call', 'Lobby', 'Front Desk']","['Room Service ', 'Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Mineral Water', 'Attached Bathroom']"
1677,H000798,De Regency,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"Middle pelling,West Sikkim","['Sangachoeling Monastery', 'Pemayangtse Monastery', 'Middle Pelling']",Pelling,Sikkim,India,27.3019861,88.2383218,Hotel,3,"['Doctor on Call', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Power Backup', 'Food Facility', 'Parking Facility', 'Room Service', 'Speciality Restaurant']","['Room Service ', 'Ensuite / Private Bathroom', ' Hot / Cold Running Water', 'Housekeeping', 'Dressing Area', 'Luggage Rack']"
1680,H000799,Cloud 9 Hills Resort,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Photo IDs required for all the room occupants at the time of check in.,"Amby road, 4 km from lions point, village jambulne, Tal - Mulshi",['Others'],Lonavala,Maharashtra,India,18.6660320161,73.3978000819,Resort,3,"['Swimming Pool', 'Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Games Zone', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Table Tennis', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Medical Assistance Available', 'Welcome Drinks', 'Power Backup', 'Gardens', 'Wedding Services Facility', 'Suitable For Children', 'Separate Sitting Area', 'Coffee Shop / Cafe', 'Conference Facility ', 'Kitchen available (home cook food on request)', 'Picnic Area', 'Wheelchair Accessibility - Room', 'Pool Table', 'Smoking Area ', 'Open Air Restaurant / Dining ', 'Vegetarian Food / Jain Food Available', 'Extra Person / Child - Share the same room', 'Car Rental', 'Kids Play Zone', 'Board Room', 'Food Facility', 'Newspapers In Lobby', ""Children's Park"", 'Family Room', 'Party hall', 'Guide / Sightseeing Service', 'Parking Facility']","['Room Service ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Telephone', 'Newspapers', ' Hot / Cold Running Water', 'Housekeeping', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Makeup / Shaving Mirror', 'Hill View from all Rooms', 'HD / LCD Satellite TV ', 'Mirror']"
1682,H000800,Copper Folia,The standard check-in time is 11:00 AM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 24 hrs check in and check out children below six years complimentary Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"28/1940A, Thondayad bypass Road, Kozhikode, Kerala",['Kozhikode'],Kozhikode,Kerala,India,11.2564576,75.8040022,Hotel,4,"['Swimming Pool', 'Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Business Center ', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Gift Shop ', 'Health Club / Gym Facility Available', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Valet service', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Medical Assistance Available', 'Air-Conditioning - Central', 'Welcome Drinks', 'Power Backup', 'Wake-up Call / Service', 'Fitness Equipment', 'Porter / Bellhop', 'Coffee Shop / Cafe', 'Conference Facility ', 'Fax Machine', 'Wheelchair Accessibility - Room', 'In House Events ', 'Vegetarian Food / Jain Food Available', 'Extra Person / Child - Share the same room', 'Car Rental', 'Express Laundry', 'Taxi Services', 'Food Facility', 'Internet Access Free', 'Family Room', 'Room Service (24 Hours)', 'STD / ISD', 'Baggage Room', 'Internet / Fax (Reception area only)', 'Outdoor Parking - Secured', 'Room Service']","['Cable / Satellite / Pay TV available', 'Telephone', 'Custom Duvets / Linen', 'Attached Bathroom']"
