,hotel_id,hotel_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,site_review_rating,hotel_facilities,room_facilities
289,H000290,Best Western Plus Rivershore Hotel,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge gala dinner supplement on Christmas/New Years eve or other festive periods. Which needs to be paid directly at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in,1900 Clackamette Dr,"['Tourist Reception Centre', 'Srinagar Airport', 'Pir Haji Muhammed Ziarat', 'Kashmir Golf Club', 'Dastgir Sahib', 'Gandhi Memorial College', 'Zero Bridge']",Oregon City,OR,US,45.4,-122.6,Hotel,3,3.5,"('Dry Cleaning', 'Gardens', 'Laundry Service Available', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', 'Parking Facility', 'Speciality Restaurant', 'Vegetarian Food / Jain Food Available', 'Welcome Drinks')","('Attached Bathroom', 'Bathroom Amenities', 'Breakfast Available', 'Ceiling Fan', 'Desk', 'Dressing Area', 'Ensuite / Private Bathroom', 'HD / LCD Satellite TV', 'Hot / Cold Running Water', 'Housekeeping', 'Luggage Rack', 'Mineral Water', 'Mirror', 'Newspapers', 'Shower', 'Slippers', 'Telephone', 'Toiletries', 'Heating Facility on Request', 'Window Open / Ventilation', 'Outdoor Parking')"
290,H000291,Sunny Rest Lodge,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,425 Sunny Rest Dr,"['Others', 'Chennai International Airport']",Palmerton,PA,US,40.8,-75.6,Service Apartment,0,5.0,"('Conference Facility', 'Doctor on Call', 'Extra Person / Child - Share the same room', 'Front Desk', 'Laundry Service Available', 'Lobby', 'Local Tour / Travel Desk', 'Medical Assistance Available', 'Parking Facility', 'Power Backup', 'Separate Sitting Area', 'Smoking Area', 'Taxi Services')","('Air Conditioning', 'Attached Bathroom', 'Bathroom Amenities', 'Ceiling Fan', 'Ensuite / Private Bathroom', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Hot / Cold Running Water', 'Housekeeping', 'Luggage Rack', 'Mirror', 'Shower', 'Telephone', 'Television', 'Toiletries', 'Window Open / Ventilation', 'Outdoor Parking')"
291,H000292,Holiday Pines Motel,The standard check-in time is 12:00 PM and the standard check-out time is 11:30 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,123 S Main St,"['Kufri', 'Railway Station', 'Airport', 'Post Office', 'The Mall, Shopping Complex', 'Viceroy Lodge Museum', 'Jakhu Temple', 'Photo Art Gallery', 'Kalka', 'Naldhera Golf Course', 'Secreteriat', 'St. Bedes College', 'Sanjauli and Dhalli', 'Main Town', 'Chadwick Falls', 'Scandal Point', 'Gaiety Heritage Cultural Complex', 'Shimla Airport', 'Bus Stand', 'Sri Ram Hospital', 'Nideshalaya Bhartiya Chikitsa Paddhati & Homeopathy Vibhag', 'Sankat Mochan']",Jay,OK,US,36.4,-94.8,Hotel,3,4.0,"('Bar / Lounge ', 'Business Center', 'Coffee Shop / Cafe', 'Front Desk', 'Games Zone', 'Internet Access - Surcharge', 'Laundry Service Available', 'Medical Assistance Available', 'Multi Cuisine Restaurant', 'Night Club', 'Welcome Drinks')","('Bathroom Amenities', 'Ensuite / Private Bathroom', 'Hairdryer', 'Telephone', 'Television', 'Airport Transfer')"
292,H000293,The Surfjack Hotel Swim Club,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,412 Lewers St,"['Chinchwad Train Station', 'Akurdi Railway Station', 'Pimpri Chinchwad', 'Pimpri Railway Station', 'Aditya Birla Memorial Hospital']",Honolulu,HI,US,21.3,-157.8,Hotel,4,4.5,"('ATM / Banking', 'Air-Conditioning - Central', 'Babysitting/ Child Care (surcharge)', 'Baggage Room', 'Ballroom', 'Banquet Facilities', 'Bar / Lounge ', 'Beauty Salon - on charge', 'Board Room', 'Business Center', 'Car Rental', 'Catering', 'Coffee Shop / Cafe', 'Concierge', 'Conference Facility', 'Courier Service', 'Currency Exchange', 'Disabled Friendly Facilities ', 'Disabled Friendly Rooms', 'Doctor on Call', 'Doorman', 'Dry Cleaning', 'Electronic / Magnetic Keys', 'Exhibit Space', 'Extra Person / Child - Share the same room', 'Family Room', 'Fax Machine', 'Fitness Equipment', 'Front Desk', 'Guide / Sightseeing Service', 'Health Club / Gym Facility Available', 'In House Events ', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Local Tour / Travel Desk', 'Locker Facility', 'Major Credit Cards Accepted', 'Massage Services', 'Medical Assistance Available', 'Multi Cuisine Restaurant', 'Multi Lingual Staff', 'Open Air Restaurant / Dining', 'Parking Facility', 'Party hall', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Postal / Parcel Services', 'Power Backup', 'Recreation Zone', 'Restaurant', 'Secretarial Services', 'Self Check - In', 'Separate Sitting Area', 'Smoking Area', 'Swimming Pool', 'Taxi Services', 'Valet service', 'Vegetarian Food / Jain Food Available', 'Voicemail', 'Wake-up Call / Service', 'Wedding Services Facility', 'Welcome Drinks', 'Wheelchair Accessibility - Room')","('Air Conditioning', 'Alarm Clock', 'Attached Bathroom', 'Bathrobes', 'Blackout Drapes', 'Breakfast Available', 'Closet', 'Coffee Table', 'Cribs Available', 'Desk', 'Ensuite / Private Bathroom', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Hot / Cold Running Water', 'Housekeeping', 'International Switch Plugs (on request)', 'Luggage Rack', 'Mineral Water', 'Mini Bar', 'Mini Refrigerator', 'Mirror', 'Movies &amp; Games on demand', 'Newspapers', 'No Smoking Room', 'Pillow menu', 'Premium Amenities / Toiletries', 'Premium Beddings / Hypo-Allergenic ', 'Reading Lamps', 'Remote Controlled Lights and Fan', 'Shower', 'Shower Cap', 'Slippers', 'Sofa Table / Extra Seats', 'Soundproof Windows', 'Tea Coffee Kettle / Maker', 'Telephone', 'Television', 'Toiletries', 'Utensils (on request)', 'Video/ DVD/ CD Player Available', 'Wardrobe', 'Work Station', 'Safe', 'Iron / Ironing board', 'Outdoor Parking', 'Spa Services', 'Poolside Cafe', 'Airport Transfer')"
293,H000294,Falls Motel,"The standard check-in time is 01:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Pets are not allowed. **** Compulsory Supplement Charges to be paid **** Mandatory Peak Season Charges From 20th December 2014 to 5 January 2015 at Rs. 1000 per room,to be paid at hotel directly at the time of check in. Supplementary charges on 31st Dec 2015 - Gala Dinner - to be paid at the hotel directly at the time of Check In.",512 E 2nd St,"['Kumily', 'Thekkady Junction', 'Kadathanadan Kalari Centre', 'Murikkady']",Black River Falls,WI,US,44.3,-90.8,Resort,4,4.9,"(' Drivers Rest Room', 'Baggage Room', 'Barbecue Area', 'Campfire / Bon Fire', 'Car Rental', 'Catering', 'Coffee Shop / Cafe', 'Doctor on Call', 'Dry Cleaning', 'Express Check-In / Check-Out', 'Extra Person / Child - Share the same room', 'Family Room', 'Free Local Calls', 'Front Desk', 'Gardens', 'Gift Shop ', 'Guide / Sightseeing Service', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Local Tour / Travel Desk', 'Locker Facility', 'Multi Cuisine Restaurant', 'Nature Walk', 'Parking Facility', 'Power Backup', 'Tennis Court', 'Vegetarian Food / Jain Food Available', 'Veranda', 'Wake-up Call / Service', 'Welcome Drinks')","('Attached Bathroom', 'Balcony', 'Bathroom Amenities', 'Breakfast Available', 'Closet', 'Desk', 'Hairdryer', 'Housekeeping', 'International Switch Plugs (on request)', 'Mineral Water', 'Newspapers', 'No Smoking Room', 'Tea Coffee Kettle / Maker', 'Telephone', 'Television', 'Toiletries', 'Wardrobe', 'Heating Facility on Request', 'Outdoor Parking', 'Porter Services', 'Spa Services')"
294,H000295,John Day Motel,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Our Inns reserve the right to admission. Accommodation can be denied to the guests posing as a couple if suitable identification and a non-local address proof is not presented at check-in. MAP plan includes limited menu meal.,250 E Main St,"['Bangla Sahib Gurudwara', 'Talkatora Stadium', 'Ajmeri Gate', 'YMCA Institute', 'Vigyan Bhawan', 'Connaught Place', 'Shivaji Stadium', 'Talkatora Indoor Stadium', 'Karnail Singh Stadium', 'Agrasen Boali', 'Mandi House']",John Day,OR,US,44.4,-119.0,Hotel,3,4.1,"('Air-Conditioning - Central', 'Doctor on Call', 'Doorman', 'Free Local Calls', 'Front Desk', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Locker Facility', 'Major Credit Cards Accepted', 'Power Backup', 'RO Water Purification System', 'Vegetarian Food / Jain Food Available', 'Wake-up Call / Service')","('Air Conditioning', 'Attached Bathroom', 'Balcony', 'Bathroom Amenities', 'Breakfast Available', 'Ceiling Fan', 'Complete Bedding', 'Curtains/Shades', 'Daily Room Cleaning', 'Desk', 'Do-Not-Disturb Notice', 'Dustbins', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Extra Toilteries on Demand', 'HD / LCD Satellite TV', 'Hairdryer', 'Hot / Cold Running Water', 'Housekeeping', 'In-room Storage Space', 'Luggage Rack', 'Mineral Water', 'Newspapers', 'Phone Messaging Services', 'Premium Amenities / Toiletries', 'Reading Lamps', 'Room Door Fitted with Lock and Key', 'Shower', 'Sofa Table / Extra Seats', 'Tea Coffee Kettle / Maker', 'Safe', 'Iron / Ironing board', 'Window Open / Ventilation')"
295,H000296,Galt House Hotel,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Deluxe room - Attached washroom,  Semi Deluxe Room and single small  room - Shared Washroom,  Living room and kitchen is on sharing basis. Early check-in or late check out charges Rs.1000/- subject to availability of room",140 N 4th St,"['Malad Station', 'Kandivali Railway Station', 'Goregaon Railway Station', 'Inorbit Mall', 'Malad', 'Topiwala Theatre']",Louisville,KY,US,38.3,-85.8,Service Apartment,3,3.0,"('ATM / Banking', 'Front Desk', 'Laundry Service Available', 'Lift / Elevator', 'Locker Facility', 'Parking Facility', 'Wake-up Call / Service')","('Bedside Table', 'Newspapers')"
296,H000297,Pioneer Lodge,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,1700 Front Street,"['Solang Valley', 'Manu Temple', 'Rahala Water Falls', 'ROHTANG PASS ', 'Tibetan monasteries', 'Jagatsuhk', 'Kanyal Road', 'Chandrakhani Pass', 'Gadham Thekchhokling Gompa', 'Himalayan Nyingmapa Gompa', 'Manali 1st Super Market', 'Manali Bus Stand', 'Civil Hospital']",Fort Benton,MT,US,47.8,-110.7,Resort,3,2.2,"('Air / Rail Booking', 'Baggage Room', 'Banquet Facilities', 'Business Center', 'Car Rental', 'Coffee Shop / Cafe', 'Conference Facility', 'Doctor on Call', 'Dry Cleaning', 'Extra Person / Child - Share the same room', 'Games Zone', 'Gardens', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lobby', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', 'Multi Cuisine Restaurant', 'Nature Walk', 'Parking Facility', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Power Backup', 'RO Water Purification System', 'Separate Sitting Area', 'Smoking Area', 'Taxi Services', 'Wake-up Call / Service')","('Air Conditioning', 'Attached Bathroom', 'Bathroom Amenities', 'Ensuite / Private Bathroom', 'Extra Bed, Towels, Linens, Bedding (on request)', 'HD / LCD Satellite TV', 'Hot / Cold Running Water', 'Housekeeping', 'Luggage Rack', 'Mirror', 'Newspapers', 'Premium Amenities / Toiletries', 'Shower', ""Split A.C's"", 'Tea Coffee Kettle / Maker', 'Telephone', 'Television', 'Toiletries', 'Video/ DVD/ CD Player Available', 'Airport Transfer')"
297,H000298,Hilton Garden Inn Yuma Pivot Point,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The hotel check in time is 12 Noon and the checkout time is 12 Noon Any Request for early check in or Late Checkout must be confirmed with the Hotel First. Guest without proper id will be refused Check in and will forfeit one days charges,310 N Madison Ave,"['Metro Cinema', 'Crawford Market', 'Charni Road Railway Station', 'Vt Station Area', 'Marine Lines Railway Station', 'Mumbai Central Bus Stand', 'Masjid Bunder Railway Station', 'Church Gate Railway Station', 'Mumbadevi Mandir', 'J J Hospital', 'Wankhede Stadium', 'Brabourne Stadium', 'Radio club', 'Sterling Cinema', 'Fashion Street', 'Elphinstone College', 'Grant Road Station', 'Chor Bazaar', 'St Xavier College', 'The Taj Mahal Palace']",Yuma,AZ,US,32.7,-114.6,Hotel,1,3.0,"('Air / Rail Booking', 'Doctor on Call', 'Doorman', 'Front Desk', 'Full Time Operation for All 7 Days', 'Guide / Sightseeing Service', 'Laundry Service Available', 'Local Tour / Travel Desk', 'Parking Facility', 'Power Backup')","('Attached Bathroom', 'Breakfast Available', 'Ceiling Fan', 'Coffee Table', 'Hot / Cold Running Water', 'Television', 'Iron / Ironing board', 'Porter Services')"
298,H000299,Best Western Mission Inn,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,1765 S Main St,"['Banjara Hills Area', 'L V Prasad Eye Institute']",Las Cruces,NM,US,32.3,-106.8,Hotel,3,4.7,"('Business Center', 'Doctor on Call')","('Bathroom Amenities', 'Ceiling Fan', 'Newspapers', 'Shower', 'Television', 'Toiletries', 'Safe', 'Iron / Ironing board')"
299,H000300,Sheraton Suites Key West,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,2001 South Roosevelt Boulevard,"['DLF courtyard', 'Hauz Khas', 'Pushpawati Singhania Research Institute', 'Khirki Masjid', 'District Court Saket', 'Malviya Nagar Metro Station', 'Qutb Minar', 'Qutab Golf Course', 'Metro Station Hauz Khas', 'South Delhi']",Key West,FL,US,24.6,-81.8,Hotel,3,4.5,"('Bar / Lounge ', 'Business Center', 'Front Desk', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Locker Facility', 'Multi Cuisine Restaurant', 'Parking Facility', 'Power Backup', 'Public Restrooms', 'Suites')","('Air Conditioning', 'Ensuite / Private Bathroom', 'Hot / Cold Running Water', 'Telephone', 'Television', 'Work Station', 'Outdoor Parking', 'Porter Services')"
300,H000301,Americas Best Value Inn Batesville,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly a.According to government regulations, a valid Photo ID has to be carried by every person above the age of 18 staying at the hotel.The identification proofs accepted are Drivers License, Voters Card, or Passport. Without valid ID the guest will not b",695 Highway 6 E,"['Kammanahalli', 'ISKCON Sri Narasimha Giridhari Mandir', 'CMR Bangalore School of Business', 'Bangalore One Centre', 'BBMP Property Tax Centre']",Batesville,MS,US,33.5,-90.2,Hotel,2,4.7,"('Baggage Room', 'Courier Service', 'Currency Exchange', 'Doctor on Call', 'Doorman', 'Dry Cleaning', 'Express Laundry', 'Extra Person / Child - Share the same room', 'Family Room', 'Front Desk', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Locker Facility', 'Parking Facility', 'Power Backup', 'Smoking Area', 'Taxi Services', 'Wake-up Call / Service')","('Air Conditioning', 'Attached Bathroom', 'Breakfast Available', 'Ceiling Fan', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Full Kitchen', 'Gas Cylinder - Chargeable', 'HD / LCD Satellite TV', 'Hot / Cold Running Water', 'Housekeeping', 'Kitchenette', 'Luggage Rack', 'Mirror', 'Newspapers', 'No Smoking Room', 'Sofa Table / Extra Seats', ""Split A.C's"", 'Telephone', 'Television', 'Toiletries', 'Wardrobe', 'Microwave / Oven', 'Outdoor Parking')"
301,H000302,Phoenix Motel Oregon,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods.  Any such supplements need to be paid directly at the hotel. No check in and check out on 25th and 31st Dec'15 Christmas and new year gala dinner compulsory. Christmas Rs. 3750 per person, child 1875 New year Rs.4250 per person, child 2125 Proper ID prof required",510 N Main St,"['Candolim Bus Stop', 'Calangute Beach', 'Calangute Area', 'Calangute Bus Stand', 'North Goa', 'Candolim Beach']",Phoenix,OR,US,42.3,-122.8,Resort,0,3.5,"(' Bike on Rent', 'Baggage Room', 'Bar / Lounge ', 'CCTV', 'Catering', 'Currency Exchange', 'Disabled Friendly Rooms', 'Doctor on Call', 'Express Laundry', 'Family Room', 'Fire Safety', 'First-Aid Kit at Front Desk', 'Front Desk', 'Full Time Operation for All 7 Days', 'Internet Access - Surcharge', 'Laundry Service Available', 'Local Tour / Travel Desk', 'Locker Facility', 'Major Credit Cards Accepted', 'Multi Cuisine Restaurant', 'Multi Lingual Staff', 'Open Air Restaurant / Dining', 'Paid Transfers', 'Parking Facility', 'Pest Control Facility', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Power Backup', 'Public Restrooms', 'RO Water Purification System', 'Security at All Hotel Entrances', 'Separate Sitting Area', 'Smoking Area', 'Swimming Pool', 'Taxi Services', 'Valet service', 'Wake-up Call / Service', 'Welcome Drinks', 'Wheelchair Accessibility - Room')","('Air Conditioning', 'Attached Bathroom', 'Bathroom Amenities', 'Bedside Table', 'Clothes Hook in Bathroom', 'Complete Bedding', 'Curtains/Shades', 'Daily Room Cleaning', 'Desk', 'Do-Not-Disturb Notice', 'Dustbins', 'Extra Toilteries on Demand', 'Hot / Cold Running Water', 'Housekeeping', 'Ice Bucket on Demand', 'In-room Storage Space', 'Luggage Rack', 'Mineral Water', 'Mirror', 'Modern Toilet Facilities', 'Newspapers', 'Room Door Fitted with Lock and Key', 'Sanitary Bin', 'Sofa Table / Extra Seats', 'Telephone', 'Television', 'Toiletries', 'Wardrobe', 'Western Toilet Seat', 'Window Open / Ventilation', 'Porter Services', 'Poolside Cafe', 'Airport Transfer')"
302,H000303,The St. Regis San Francisco,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates  extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",125 3rd Street,['Others'],San Francisco,CA,US,37.8,-122.4,Hotel,1,2.0,"('Doctor on Call',)","('Attached Bathroom',)"
303,H000304,Best Western Plus Concordville Hotel,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid Identification proof are required. Pets are not allowed.,675 Conchester Hwy,"['Madhavbag', 'Kandla Airport']",Glen Mills,PA,US,39.9,-75.5,Hotel,0,3.0,"('Board Room', 'Conference Facility', 'Front Desk', 'Laundry Service Available', 'Restaurant')","('Air Conditioning', 'Alarm Clock', 'Bathroom Amenities', 'Complete Bedding', 'Curtains/Shades', 'Do-Not-Disturb Notice', 'Dustbins', 'Hot / Cold Running Water', 'Housekeeping', 'Mineral Water', 'Mirror', 'Newspapers', 'Safe (on request)', 'Slippers', 'Tea Coffee Kettle / Maker', 'Television', 'Safe')"
304,H000305,Capitola Venetian Hotel,"The standard check-in time is 08:00 PM and the standard check-out time is 08:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ALL GUESTS ARE REQUIRED TO PRESENT PROPER PHOTO IDENTIFICATION UPON CHECK IN. The identity proof would include a valid Driving license/voter identity card/PAN card, etc. Valid Passport mandatory for all Foreign guests. Hotel is not allow unmarried / unrelated couples to check-in. This is at full discretion of the hotel management. No refund would be applicable in case the hotel denies check-in under such circumstances.",1500 Wharf Rd,"['Kumaradhara River,Kukke Subramanya Dakshina Kannada Area']",Capitola,CA,US,37.0,-122.0,Guest House,0,4.1,"('Baggage Room', 'Doctor on Call', 'Front Desk', 'Gardens', 'Lobby', 'Major Credit Cards Accepted', 'Multi Lingual Staff', 'Parking Facility', 'Power Backup', 'Smoking Area', 'Wake-up Call / Service', 'Welcome Drinks')","('Bathroom Amenities', 'Breakfast Available', 'Ceiling Fan', 'Desk', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Hot / Cold Running Water', 'Housekeeping', 'No Smoking Room', 'Telephone', 'Television', 'Toiletries', 'Outdoor Parking')"
305,H000306,Motel 6 Santa Maria,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,2040 N Preisker Ln,"['Blossom Hydel Park', 'Chinnakanal', 'Nyayamakad waterfalls', 'Pothamedu Viewpoint', 'Bus Station', 'Munnar', 'Tata Global Beverages Limited General Hospital', 'Tea Museum', 'The Grandspa Ayurvedic Wellness &amp; Research Centre', 'Photo Point', 'Spices Market', 'Attukal Waterfalls', 'Pallivasal', 'The Grandspa Ayurvedic Wellness & Research Centre']",Santa Maria,CA,US,35.0,-120.4,Resort,0,4.0,"('Barbecue Area', 'Campfire / Bon Fire', 'Coffee Shop / Cafe', 'Doctor on Call', 'Express Check-In / Check-Out', 'Family Room', 'Front Desk', 'Gardens', 'Internet Access - Surcharge', 'Laundry Service Available', 'Local Tour / Travel Desk', 'Locker Facility', 'Medical Assistance Available', 'Multi Cuisine Restaurant', 'Multi Lingual Staff', 'Nature Walk', 'Night Club', 'Parking Facility', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Power Backup', 'Separate Sitting Area', 'Taxi Services', 'Valet service', 'Wake-up Call / Service')","('Attached Bathroom', 'Balcony', 'Bathroom Amenities', 'Newspapers', 'Outdoor Parking', 'Airport Transfer')"
306,H000307,Smith's Hotel,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,1030 Lancaster Ave,"['Anjuna Area', 'Calangute Beach', 'Anjuna Beach', 'Titos lane, baga', 'Baga Beach', 'North Goa', 'Anjuna Beach Bus Stop', 'Vagator Beach']",Columbia,PA,US,40.0,-76.5,Guest House,0,5.0,"('Doctor on Call', 'Parking Facility', 'Power Backup', 'RO Water Purification System')","('Air Conditioning', 'Attached Bathroom', 'HD / LCD Satellite TV', 'Hot / Cold Running Water')"
307,H000308,Hampton Inn Las Vegas North Speedway,The standard check-in time is 01:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,2852 E Craig Rd,"['Dabolim Airport', 'Tivim Railway Station', 'Chapora Fort', 'Souza Lobo Restaurant', 'Club Cabana', 'Baga Beach', 'Calangute beach ', 'Margao Railway Station', 'Mapusa', 'Panjim', 'Fort Aquada', ""Tito's"", 'Panaji City', 'Calangute Shopping Area', 'Anjuna Flea Market', 'Margao Railway Terminus', 'Holy Trinity', 'Sankalp Hospital', 'Disco Club Cubana', 'Francis Xavier Church, Old Goa', 'Anjuna Beach', 'Baga Area', 'Calangute Beach', 'Titos lane, baga', 'North Goa']",North Las Vegas,NV,US,36.2,-115.1,Resort,3,2.0,"('Front Desk', 'Laundry Service Available', 'Restaurant', 'Swimming Pool')","('Alarm Clock', 'Attached Bathroom', 'Bathroom Amenities', 'Bidet', 'Ceiling Fan', 'Desk', 'Housekeeping', 'Mirror', 'Telephone', 'Television', 'Safe')"
308,H000309,Fairfield Inn by Marriott Huntsville,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly *Valid Identification Proof are Mandatory. *In case of any unusual/ improper/ suspicious act, Hotel can cancel Room. *Unmarried couples will not be allowed to check in  *Customer has to carry a copy of booking voucher at the time of check in.",1385 Enterprise Way,"['Pimpri Chinchwad', 'Kasarwadi Railway Station', 'Pimpri Chinchwad Pcm Hockey Station']",Huntsville,AL,US,34.7,-86.7,Hotel,0,5.0,"('Air / Rail Booking', 'Bar / Lounge ', 'Business Center', 'Catering', 'Conference Facility', 'Front Desk', 'Gardens', 'Laundry Service Available', 'Locker Facility', 'Multi Cuisine Restaurant', 'Open Air Restaurant / Dining', 'Parking Facility', 'Power Backup')","('Air Conditioning', 'Attached Bathroom', 'Breakfast Available', 'Ceiling Fan', 'Clothes Hook in Bathroom', 'Coffee Table', 'Curtains/Shades', 'Daily Room Cleaning', 'Extra Toilteries on Demand', 'Hot / Cold Running Water', 'Housekeeping', 'Mineral Water', 'Mirror', 'Newspapers', 'Room Door Fitted with Lock and Key', ""Split A.C's"", 'Tea Coffee Kettle / Maker', 'Toiletries', 'Wardrobe', 'Western Toilet Seat', 'Outdoor Parking')"
309,H000310,Wild Goose Lodge,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Please note : The hotel is charging a mandatory gala dinner surcharge on 25th Dec and 31st Dec. This amount is payable directly at the hotel at the time of  check in.,105 Court Dr,"['South Goa', 'Colva Beach', 'Colva Area']",Merrill,OR,US,42.0,-121.6,Resort,3,5.0,"('Bar / Lounge ', 'Front Desk', 'Laundry Service Available', 'Multi Cuisine Restaurant', 'Swimming Pool')","('Air Conditioning', 'Bathroom Amenities', 'Ceiling Fan', 'Hairdryer', 'Mineral Water', 'Mini Bar', 'Tea Coffee Kettle / Maker', 'Television', 'Video/ DVD/ CD Player Available', 'Safe', 'Iron / Ironing board')"
